timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Vapor Pressure Deficit [2 m],Basel Soil Moisture [0-7 cm down]
20210609T1500,21.930244,0.3,66.97671,8.473393,12.2647705,8.385908,0.364
20210609T1600,21.920246,1.2,68.060425,7.6367526,8.130096,8.105743,0.363
20210609T1700,21.140245,1,69.18776,2.7416782,23.198593,7.4538727,0.372
20210609T1800,20.310246,0,77.81767,1.484318,345.96375,5.0979023,0.387
20210609T1900,19.390245,0.5,82.25008,1.609969,153.43495,3.852354,0.382
20210609T2000,18.080246,0.9,86.26619,3.319036,130.60129,2.7455368,0.38
20210609T2100,16.920246,0.7,90.72585,2.5455842,135,1.7226734,0.377
20210609T2200,15.550245,0,93.62659,2.8799999,180,1.0845461,0.386
20210609T2300,15.440246,0,92.35156,3.319036,139.3987,1.2923374,0.383
20210610T0000,14.730246,0,94.19927,2.6208394,195.9454,0.9362421,0.381
20210610T0100,13.5602455,0,95.770035,2.9024127,172.87498,0.63272285,0.38
20210610T0200,13.830245,0,95.591095,2.2768397,161.56505,0.6712065,0.379
20210610T0300,13.400246,0,95.953705,3.0758414,159.44395,0.59895515,0.381
20210610T0400,13.550245,0,96.21144,2.8116899,140.19443,0.56632614,0.381
20210610T0500,14.180245,0,96.98901,3.319036,130.60129,0.46894836,0.38
20210610T0600,16.170246,0,92.99308,3.6,126.869896,1.2407207,0.379
20210610T0700,17.990246,0,88.50198,3.319036,130.60129,2.2855663,0.378
20210610T0800,20.010244,0,82.06367,1.8,126.869896,4.0460606,0.376
20210610T0900,21.760244,0,76.80485,1.0182338,44.999985,5.8291245,0.374
20210610T1000,23.310246,0,69.1213,5.00128,30.256424,8.528957,0.368
20210610T1100,24.490246,0,65.14493,4.3498964,65.55604,10.337606,0.365
20210610T1200,25.460245,0,59.242004,1.609969,63.43495,12.810846,0.362
20210610T1300,25.690245,0,56.27528,2.0991426,300.96378,13.932951,0.359
20210610T1400,25.580246,0,55.781933,6.130579,3.3664398,13.998161,0.357
20210610T1500,24.450245,0.4,58.06467,9.255571,13.495728,12.407677,0.355
20210610T1600,24.730246,0.2,54.36428,9.3876505,4.398697,13.731367,0.36
20210610T1700,24.610245,0,54.722206,9,343.7398,13.525961,0.359
20210610T1800,23.740246,0,58.043724,5.4833565,336.8014,11.894112,0.358
20210610T1900,21.730246,0,66.935646,4.6938257,327.5288,8.294062,0.358
20210610T2000,19.430244,0,77.186966,4.072935,315,4.963604,0.357
20210610T2100,18.670246,0,80.32858,4.1046314,307.875,4.0812397,0.356
20210610T2200,17.620245,0,83.587105,0.5091169,225,3.187151,0.356
